region,region_name,year,holiday_name,date,start_time,public_service_flag,regional_holiday_flag,holiday_comment
TAS,Tasmania,2024,Christmas Day,2024-12-25,00:00,"","",""
TAS,Tasmania,2024,Boxing Day,2024-12-26,00:00,"","",""
VIC,Victoria,2024,New Year's Day,2024-01-01,00:00,"","",""
VIC,Victoria,2024,Australia Day,2024-01-26,00:00,"","",""
VIC,Victoria,2024,Labour Day,2024-03-11,00:00,"","",""
VIC,Victoria,2024,Good Friday,2024-03-29,00:00,"","",""
VIC,Victoria,2024,Saturday before Easter Sunday,2024-03-30,00:00,"","",""
VIC,Victoria,2024,Easter Sunday,2024-03-31,00:00,"","",""
VIC,Victoria,2024,Easter Monday,2024-04-01,00:00,"","",""
VIC,Victoria,2024,Anzac Day,2024-04-25,00:00,"","",""
VIC,Victoria,2024,King's Birthday,2024-06-10,00:00,"","",""
VIC,Victoria,2024,Friday before AFL Grand Final,2024-09-27,00:00,"","",""
VIC,Victoria,2024,Melbourne Cup,2024-11-05,00:00,"","",""
VIC,Victoria,2024,Christmas Day,2024-12-25,00:00,"","",""
VIC,Victoria,2024,Boxing Day,2024-12-26,00:00,"","",""
WA,Western Australia,2024,New Year's Day,2024-01-01,00:00,"","",""
WA,Western Australia,2024,Australia Day,2024-01-26,00:00,"","",""
WA,Western Australia,2024,Labour Day,2024-03-04,00:00,"","",""
WA,Western Australia,2024,Good Friday,2024-03-29,00:00,"","",""
WA,Western Australia,2024,Easter Sunday,2024-03-31,00:00,"","",""
WA,Western Australia,2024,Easter Monday,2024-04-01,00:00,"","",""
WA,Western Australia,2024,Anzac Day,2024-04-25,00:00,"","",""
WA,Western Australia,2024,Western Australia Day,2024-06-03,00:00,"","",""
WA,Western Australia,2024,King's Birthday,2024-09-23,00:00,"",Y,some regional areas in WA hold the King's Birthday public holiday on a different date
WA,Western Australia,2024,Christmas Day,2024-12-25,00:00,"","",""
WA,Western Australia,2024,Boxing Day,2024-12-26,00:00,"","",""
ACT,Australian Capital Territory,2025,New Year's Day,2025-01-01,00:00,"","",""
ACT,Australian Capital Territory,2025,Australia Day,2025-01-27,00:00,"","",""
ACT,Australian Capital Territory,2025,Canberra Day,2025-03-10,00:00,"","",""
ACT,Australian Capital Territory,2025,Good Friday,2025-04-18,00:00,"","",""
ACT,Australian Capital Territory,2025,Easter Saturday – the day after Good Friday,2025-04-19,00:00,"","",""
ACT,Australian Capital Territory,2025,Easter Sunday,2025-04-20,00:00,"","",""
ACT,Australian Capital Territory,2025,Easter Monday,2025-04-21,00:00,"","",""
ACT,Australian Capital Territory,2025,Anzac Day,2025-04-25,00:00,"","",""
ACT,Australian Capital Territory,2025,Reconciliation Day,2025-06-02,00:00,"","",""
ACT,Australian Capital Territory,2025,King’s Birthday,2025-06-09,00:00,"","",""
ACT,Australian Capital Territory,2025,Labour Day,2025-10-06,00:00,"","",""
ACT,Australian Capital Territory,2025,Christmas Day,2025-12-25,00:00,"","",""
ACT,Australian Capital Territory,2025,Boxing Day,2025-12-26,00:00,"","",""
NSW,New South Wales,2025,New Year's Day,2025-01-01,00:00,"","",""
NSW,New South Wales,2025,Australia Day,2025-01-27,00:00,"","",""
NSW,New South Wales,2025,Good Friday,2025-04-18,00:00,"","",""
NSW,New South Wales,2025,Easter Saturday,2025-04-19,00:00,"","",""
NSW,New South Wales,2025,Easter Sunday,2025-04-20,00:00,"","",""
NSW,New South Wales,2025,Easter Monday,2025-04-21,00:00,"","",""
NSW,New South Wales,2025,Anzac Day,2025-04-25,00:00,"","",""
NSW,New South Wales,2025,King’s Birthday,2025-06-09,00:00,"","",""
NSW,New South Wales,2025,Labour Day,2025-10-06,00:00,"","",""
NSW,New South Wales,2025,Christmas Day,2025-12-25,00:00,"","",""
NSW,New South Wales,2025,Boxing Day,2025-12-26,00:00,"","",""
NT,Northern Territory,2025,New Year's Day,2025-01-01,00:00,"","",""
NT,Northern Territory,2025,Australia Day,2025-01-27,00:00,"","",""
NT,Northern Territory,2025,Good Friday,2025-04-18,00:00,"","",""
NT,Northern Territory,2025,Easter Saturday,2025-04-19,00:00,"","",""
NT,Northern Territory,2025,Easter Sunday,2025-04-20,00:00,"","",""
NT,Northern Territory,2025,Easter Monday,2025-04-21,00:00,"","",""
NT,Northern Territory,2025,Anzac Day,2025-04-25,00:00,"","",""
NT,Northern Territory,2025,May Day,2025-05-05,00:00,"","",""
NT,Northern Territory,2025,King’s Birthday,2025-06-09,00:00,"","",""
NT,Northern Territory,2025,Picnic Day,2025-08-04,00:00,"","",""
NT,Northern Territory,2025,Christmas Eve,2025-12-24,19:00,"","",from 7pm to midnight
NT,Northern Territory,2025,Christmas Day,2025-12-25,00:00,"","",""
NT,Northern Territory,2025,Boxing Day,2025-12-26,00:00,"","",""
NT,Northern Territory,2025,New Year's Eve,2025-12-31,19:00,"","",from 7pm to midnight
QLD,Queensland,2025,New Year's Day,2025-01-01,00:00,"","",""
QLD,Queensland,2025,Australia Day,2025-01-27,00:00,"","",""
QLD,Queensland,2025,Good Friday,2025-04-18,00:00,"","",""
QLD,Queensland,2025,The day after Good Friday,2025-04-19,00:00,"","",""
QLD,Queensland,2025,Easter Sunday,2025-04-20,00:00,"","",""
QLD,Queensland,2025,Easter Monday,2025-04-21,00:00,"","",""
QLD,Queensland,2025,Anzac Day,2025-04-25,00:00,"","",""
QLD,Queensland,2025,Labour Day,2025-05-05,00:00,"","",""
QLD,Queensland,2025,Royal Queensland Show,2025-08-13,00:00,"",Y,Brisbane area only
QLD,Queensland,2025,King’s Birthday,2025-10-06,00:00,"","",""
QLD,Queensland,2025,Christmas Eve,2025-12-24,18:00,"","",from 6pm to midnight
QLD,Queensland,2025,Christmas Day,2025-12-25,00:00,"","",""
QLD,Queensland,2025,Boxing Day,2025-12-26,00:00,"","",""
SA,South Australia,2025,New Year's Day,2025-01-01,00:00,"","",""
SA,South Australia,2025,Australia Day,2025-01-27,00:00,"","",""
SA,South Australia,2025,Adelaide Cup Day,2025-03-10,00:00,"","",""
SA,South Australia,2025,Good Friday,2025-04-18,00:00,"","",""
SA,South Australia,2025,Easter Saturday,2025-04-19,00:00,"","",""
SA,South Australia,2025,Easter Sunday,2025-04-20,00:00,"","",""
SA,South Australia,2025,Easter Monday,2025-04-21,00:00,"","",""
SA,South Australia,2025,Anzac Day,2025-04-25,00:00,"","",""
SA,South Australia,2025,King’s Birthday,2025-06-09,00:00,"","",""
SA,South Australia,2025,Labour Day,2025-10-06,00:00,"","",""
SA,South Australia,2025,Christmas Eve,2025-12-24,19:00,"","",from 7pm to midnight
SA,South Australia,2025,Christmas Day,2025-12-25,00:00,"","",""
SA,South Australia,2025,Proclamation Day public holiday / Boxing Day,2025-12-26,00:00,"","",""
SA,South Australia,2025,New Year's Eve,2025-12-31,19:00,"","",from 7pm to midnight
TAS,Tasmania,2025,New Year's Day,2025-01-01,00:00,"","",""
TAS,Tasmania,2025,Australia Day,2025-01-27,00:00,"","",""
TAS,Tasmania,2025,Royal Hobart Regatta,2025-02-10,00:00,"",Y,only observed in certain areas of the state
TAS,Tasmania,2025,Eight Hours Day,2025-03-10,00:00,"","",""
TAS,Tasmania,2025,Good Friday,2025-04-18,00:00,"","",""
TAS,Tasmania,2025,Easter Monday,2025-04-21,00:00,"","",""
TAS,Tasmania,2025,Easter Tuesday,2025-04-22,00:00,Y,"",generally Tasmanian Public Service only
TAS,Tasmania,2025,Anzac Day,2025-04-25,00:00,"","",""
TAS,Tasmania,2025,King's Birthday,2025-06-09,00:00,"","",""
TAS,Tasmania,2025,Recreation Day,2025-11-03,00:00,"",Y,areas of the state that don’t observe Royal Hobart Regatta
TAS,Tasmania,2025,Christmas Day,2025-12-25,00:00,"","",""
TAS,Tasmania,2025,Boxing Day,2025-12-26,00:00,"","",""
VIC,Victoria,2025,New Year's Day,2025-01-01,00:00,"","",""
VIC,Victoria,2025,Australia Day,2025-01-27,00:00,"","",""
VIC,Victoria,2025,Labour Day,2025-03-10,00:00,"","",""
VIC,Victoria,2025,Good Friday,2025-04-18,00:00,"","",""
VIC,Victoria,2025,Saturday before Easter Sunday,2025-04-19,00:00,"","",""
VIC,Victoria,2025,Easter Sunday,2025-04-20,00:00,"","",""
VIC,Victoria,2025,Easter Monday,2025-04-21,00:00,"","",""
VIC,Victoria,2025,Anzac Day,2025-04-25,00:00,"","",""
VIC,Victoria,2025,King's Birthday,2025-06-09,00:00,"","",""
VIC,Victoria,2025,Friday before AFL Grand Final,TBD,00:00,"","",Subject to AFL schedule (date TBC).
VIC,Victoria,2025,Melbourne Cup,2025-11-04,00:00,"","",""
VIC,Victoria,2025,Christmas Day,2025-12-25,00:00,"","",""
VIC,Victoria,2025,Boxing Day,2025-12-26,00:00,"","",""
WA,Western Australia,2025,New Year's Day,2025-01-01,00:00,"","",""
WA,Western Australia,2025,Australia Day,2025-01-27,00:00,"","",""
WA,Western Australia,2025,Labour Day,2025-03-03,00:00,"","",""
WA,Western Australia,2025,Good Friday,2025-04-18,00:00,"","",""
WA,Western Australia,2025,Easter Sunday,2025-04-20,00:00,"","",""
WA,Western Australia,2025,Easter Monday,2025-04-21,00:00,"","",""
WA,Western Australia,2025,Anzac Day,2025-04-25,00:00,"","",""
WA,Western Australia,2025,Western Australia Day,2025-06-02,00:00,"","",""
WA,Western Australia,2025,King's Birthday,2025-09-29,00:00,"",Y,some regional areas in WA hold the King's Birthday public holiday on a different date
WA,Western Australia,2025,Christmas Day,2025-12-25,00:00,"","",""
WA,Western Australia,2025,Boxing Day,2025-12-26,00:00,"","",""
